ngen_name,nse_symbol,bse_code,isin,matched_name,match_score,yf_ticker,match_method
Equitas Sma. Fin,IT,,INF174KA1GC5,IT,90.0,IT.NS,fuzzy
Alkem Lab,ALKEM,ALKEM,INE540L01014,Alkem Laboratories Limited,90.0,ALKEM.NS,fuzzy
Alkyl Amines,ALKYLAMINE,ALKYLAMINE,INE150B01039,ALKYL AMINES CHEMICALS LTD.,90.0,ALKYLAMINE.NS,fuzzy
Sumitomo Chemi.,SUMICHEM,SUMICHEM,INE258G01013,SUMITOMO CHEMICAL INDIA LIMITE,90.0,SUMICHEM.NS,fuzzy
Spandana Sphoort,,SSFLPP,IN9572J01019,Spandana Sphoorty Financial Li,90.0,SSFLPP.BO,fuzzy
Spartek Ceramics,PAR,,INE04LG01015,PAR,90.0,PAR.NS,fuzzy
Sri Lotus,LOTUSDEV,LOTUSDEV,INE0V9Q01010,Sri Lotus Developers and Realt,90.0,LOTUSDEV.NS,fuzzy
Standard Enginee,SETL,SETL,INE0M4D01010,STANDARD ENGINEERING TECHNOLOG,90.0,SETL.NS,fuzzy
City Online Ser.,IT,,INF174KA1GC5,IT,90.0,IT.NS,fuzzy
Fedbank Financi.,FEDFINA,FEDFINA,INE007N01010,Fedbank Financial Services Lim,90.0,FEDFINA.NS,fuzzy
Fine Organic,FINEORG,FINEORG,INE686Y01026,Fine Organic Industries Limite,90.0,FINEORG.NS,fuzzy
Clean Max Enviro,MAXIND,MAXIND,INE0CG601016,Max India Limited,90.0,MAXIND.NS,fuzzy
Clean Science,CLEAN,CLEAN,INE227W01023,Clean Science and Technology L,90.0,CLEAN.NS,fuzzy
Canara Hsbc,CANHLIFE,CANHLIFE,INE01TY01017,Canara HSBC Life Insurance Com,90.0,CANHLIFE.NS,fuzzy
Canara Robeco,CRAMC,CRAMC,INE218I01013,Canara Robeco Asset Management,90.0,CRAMC.NS,fuzzy
Capacit'E Infra.,CAPACITE,CAPACITE,INE264T01014,Capacit'e Infraprojects Limite,90.0,CAPACITE.NS,fuzzy
Sunflag Iron,SUNFLAG,SUNFLAG,INE947A01014,SUNFLAG IRON & STEEL CO.LTD.,90.0,SUNFLAG.NS,fuzzy
Suprajit Engg.,PRAJIND,PRAJIND,INE074A01025,PRAJ INDUSTRIES LTD.,90.0,PRAJIND.NS,fuzzy
Siyaram Silk,SIYSIL,SIYSIL,INE076B01028,SIYARAM SILK MILLS LTD.,90.0,SIYSIL.NS,fuzzy
Sky Gold & Diam.,,SKYIND,INE765B01018,SKY INDUSTRIES LTD.,90.0,SKYIND.BO,fuzzy
Smartworks Cowor,SMARTWORKS,SMARTWORKS,INE0NAZ01010,SMARTWORKS COWORKING SPACES LI,90.0,SMARTWORKS.NS,fuzzy
Solara Active,SOLARINDS,SOLARINDS,INE343H01029,SOLAR INDUSTRIES INDIA LTD.,90.0,SOLARINDS.NS,fuzzy
General Insuranc,GODIGIT,GODIGIT,INE03JT01014,Go Digit General Insurance Lim,90.0,GODIGIT.NS,fuzzy
Genus Prime,,GENUSPRIME,INE256D01014,GENUS PRIME INFRA LIMITED,90.0,GENUSPRIME.BO,fuzzy
Geojit Fin. Ser.,IT,,INF174KA1GC5,IT,90.0,IT.NS,fuzzy
Vst Till. Tract.,TTL,TTL,INE592B01024,T T LTD.,90.0,TTL.NS,fuzzy
Fsn E-Commerce,NYKAA,NYKAA,INE388Y01029,FSN E-Commerce Ventures Limite,90.0,NYKAA.NS,fuzzy
Fujiyama Power,,UTLSOLAR,INE12UR01024,Fujiyama Power Systems Limited,90.0,UTLSOLAR.BO,fuzzy
Welspun Enterp,WELENT,WELENT,INE625G01013,WELSPUN ENTERPRISES LIMTED,90.0,WELENT.NS,fuzzy
Strides Pharma,STAR,STAR,INE939A01011,STRIDES PHARMA SCIENCE LIMITED,90.0,STAR.NS,fuzzy
Data Pattern,DATAPATTNS,DATAPATTNS,INE0IX101010,Data Patterns (India) Limited,90.0,DATAPATTNS.NS,fuzzy
Stylam Industrie,STYLAMIND,STYLAMIND,INE239C01020,STYLAM INDUSTRIES LIMITED,90.0,STYLAMIND.NS,fuzzy
Styrenix Perfor.,STYRENIX,STYRENIX,INE189B01011,Styrenix Performance Materials,90.0,STYRENIX.NS,fuzzy
Shriram Pistons,SHRIPISTON,SHRIPISTON,INE526E01018,SHRIRAM PISTONS & RINGS LTD,90.0,SHRIPISTON.NS,fuzzy
Shubh Shanti Ser,SHANTI,,INE933X01016,SHANTI,90.0,SHANTI.NS,fuzzy
Shyam Metalics,SHYAMMETL,SHYAMMETL,INE810G01011,Shyam Metalics and Energy Limi,90.0,SHYAMMETL.NS,fuzzy
Siemens Ener.Ind,SIEMENS,SIEMENS,INE003A01024,SIEMENS LTD.,90.0,SIEMENS.NS,fuzzy
Signatureglobal,GLOBAL,,INE291W01037,GLOBAL,90.0,GLOBAL.NS,fuzzy
Glenmark Pharma.,,GLEN,INE0UMC01019,Glen Industries Limited,90.0,GLEN.BO,fuzzy
Gna Axles,GNA,GNA,INE934S01014,G N A Axles Limited,90.0,GNA.NS,fuzzy
Gandhar Oil Ref.,OIL,OIL,INE274J01014,OIL INDIA LTD.,90.0,OIL.NS,fuzzy
Vedanta Aluminiu,VEDL,VEDL,INE205A01025,VEDANTA LIMITED,90.0,VEDL.NS,fuzzy
Garden Reach Sh.,GRSE,GRSE,INE382Z01011,Garden Reach Shipbuilders & En,90.0,GRSE.NS,fuzzy
Garuda Cons,GARUDA,GARUDA,INE0JVO01026,Garuda Construction and Engine,90.0,GARUDA.NS,fuzzy
Garware Tech.,GARFIBRES,GARFIBRES,INE276A01018,GARWARE TECHNICAL FIBRES LIMIT,90.0,GARFIBRES.NS,fuzzy
Gateway Distri,,ISTLTD,INE684B01029,IST LTD.,90.0,ISTLTD.BO,fuzzy
Standard Glass,SIL,SIL,INE173A01025,STANDARD INDUSTRIES LTD.,90.0,SIL.NS,fuzzy
Advanced Enzyme,ADVENZYMES,ADVENZYMES,INE837H01020,Advanced Enzyme Technologies L,90.0,ADVENZYMES.NS,fuzzy
Siv Industries,,HINDADH,INE074C01013,HINDUSTAN ADHESIVES LTD.,90.0,HINDADH.BO,fuzzy
Sarda Energy,SARDAEN,SARDAEN,INE385C01021,SARDA ENERGY & MINERALS LTD.,90.0,SARDAEN.NS,fuzzy
Senores Pharma.,SENORES,SENORES,INE0RB801010,SENORES PHARMACEUTICALS LIMITE,90.0,SENORES.NS,fuzzy
Seshaasai Tech.,STYL,STYL,INE04VU01023,Seshaasai Technologies Limited,90.0,STYL.NS,fuzzy
Shaily Engineer.,SHAILY,SHAILY,INE151G01028,SHAILY ENGINEERING PLASTICS LT,90.0,SHAILY.NS,fuzzy
Shakti Pumps,SHAKTIPUMP,SHAKTIPUMP,INE908D01010,SHAKTI PUMPS (INDIA) LTD.,90.0,SHAKTIPUMP.NS,fuzzy
Aditya Birla Cap,IT,,INF174KA1GC5,IT,90.0,IT.NS,fuzzy
Aditya Bir. Fas.,IT,,INF174KA1GC5,IT,90.0,IT.NS,fuzzy
Anand Rathi Shar,ARSSBL,ARSSBL,INE549H01021,ANAND RATHI SHARE AND STOCK BR,90.0,ARSSBL.NS,fuzzy
Aditya Amc,IT,,INF174KA1GC5,IT,90.0,IT.NS,fuzzy
Brainbees Solut.,RAIN,RAIN,INE855B01025,RAIN INDUSTRIES LIMITED,90.0,RAIN.NS,fuzzy
Brigade Hotel,BRIGHOTEL,BRIGHOTEL,INE03NU01014,Brigade Hotel Ventures Limited,90.0,BRIGHOTEL.NS,fuzzy
Acme Solar Hold.,SOLARINDS,SOLARINDS,INE343H01029,SOLAR INDUSTRIES INDIA LTD.,90.0,SOLARINDS.NS,fuzzy
Accord Transform,ACC,ACC,INE012A01025,ACC LTD.,90.0,ACC.NS,fuzzy
Solarworld Ene.,SOLARWORLD,SOLARWORLD,INE0TY101024,Solarworld Energy Solutions Li,90.0,SOLARWORLD.NS,fuzzy
Sona Blw Precis.,RECLTD,RECLTD,INE020B01018,REC LIMITED,90.0,RECLTD.NS,fuzzy
Sedemac Mechatro,,EMAINDIA,INE279D01016,EMA INDIA LTD.,90.0,EMAINDIA.BO,fuzzy
Sai Silks,KALAMANDIR,KALAMANDIR,INE438K01021,Sai Silks (Kalamandir) Limited,90.0,KALAMANDIR.NS,fuzzy
Salora Capital,IT,,INF174KA1GC5,IT,90.0,IT.NS,fuzzy
Sambhv Steel,SAMBHV,SAMBHV,INE12NJ01018,SAMBHV STEEL TUBES LIMITED,90.0,SAMBHV.NS,fuzzy
Gujarat Alkalies,GUJALKALI,GUJALKALI,INE186A01019,GUJARAT ALKALIES & CHEMICALS L,90.0,GUJALKALI.NS,fuzzy
Go Digit General,GODIGIT,GODIGIT,INE03JT01014,Go Digit General Insurance Lim,90.0,GODIGIT.NS,fuzzy
Godawari Power,GPIL,GPIL,INE177H01039,GODAWARI POWER & ISPAT LTD.,90.0,GPIL.NS,fuzzy
Jyoti Cnc Auto.,,JYOTI,INE511D01012,JYOTI LTD.,90.0,JYOTI.BO,fuzzy
Kalpat.,KPIL,KPIL,INE220B01022,KALPATARU PROJECTS INTERNATION,90.0,KPIL.NS,fuzzy
Kalpataru Proj.,KPIL,KPIL,INE220B01022,KALPATARU PROJECTS INTERNATION,90.0,KPIL.NS,fuzzy
Kansai Nerolac,KANSAINER,KANSAINER,INE531A01024,KANSAI NEROLAC PAINTS LTD.,90.0,KANSAINER.NS,fuzzy
Max Financial,MAXIND,MAXIND,INE0CG601016,Max India Limited,90.0,MAXIND.NS,fuzzy
Max Healthcare,MAXHEALTH,MAXHEALTH,INE027H01010,Max Healthcare Institute Limit,90.0,MAXHEALTH.NS,fuzzy
Mazagon Dock,MAZDOCK,MAZDOCK,INE249Z01020,Mazagon Dock Shipbuilders Limi,90.0,MAZDOCK.NS,fuzzy
Websol Energy,WEBELSOLAR,WEBELSOLAR,INE855C01023,WEBSOL ENERGY SYSTEM LTD.,90.0,WEBELSOLAR.NS,fuzzy
Mahindra Holiday,MHRIL,MHRIL,INE998I01010,MAHINDRA HOLIDAYS & RESORTS IN,90.0,MHRIL.NS,fuzzy
Kwality,KWIL,KWIL,INE2KCE01013,Kwality Walls (India) Limited,90.0,KWIL.NS,fuzzy
Kwality Wall'S,IT,,INF174KA1GC5,IT,90.0,IT.NS,fuzzy
L&T Technology,LTTS,LTTS,INE010V01017,L&T Technology Services Limite,90.0,LTTS.NS,fuzzy
Krishna Institu.,KIMS,KIMS,INE967H01025,Krishna Institute of Medical S,90.0,KIMS.NS,fuzzy
Krn Heat Exchan,,KRN,INE0Q3J01015,KRN HEAT EXCHANGER AND REFRIGE,90.0,KRN.BO,fuzzy
Kolte Patil Dev.,TIL,TIL,INE806C01018,TIL LTD.,90.0,TIL.NS,fuzzy
Krystal Integrat,KRYSTAL,KRYSTAL,INE0QN801017,KRYSTAL INTEGRATED SERVICES LI,90.0,KRYSTAL.NS,fuzzy
Godrej Industrie,GODREJIND,GODREJIND,INE233A01035,GODREJ INDUSTRIES LTD.,90.0,GODREJIND.NS,fuzzy
Gpi Textiles,TIL,TIL,INE806C01018,TIL LTD.,90.0,TIL.NS,fuzzy
Antony Waste Han,AWHCL,AWHCL,INE01BK01022,Antony Waste Handling Cell Lim,90.0,AWHCL.NS,fuzzy
Apcotex Industri,APCOTEXIND,APCOTEXIND,INE116A01032,APCOTEX INDUSTRIES LTD.,90.0,APCOTEXIND.NS,fuzzy
Apeejay Surrend.,PARKHOTELS,PARKHOTELS,INE988S01028,Apeejay Surrendra Park Hotels,90.0,PARKHOTELS.NS,fuzzy
Apollo Hospitals,APOLLOHOSP,APOLLOHOSP,INE437A01024,APOLLO HOSPITALS ENTERPRISE LT,90.0,APOLLOHOSP.NS,fuzzy
Reliance Infra.,RELIANCE,RELIANCE,INE002A01018,RELIANCE INDUSTRIES LTD.,90.0,RELIANCE.NS,fuzzy
Sandhar Tech,SANDHAR,SANDHAR,INE278H01035,Sandhar Technologies Limited,90.0,SANDHAR.NS,fuzzy
Sandur Manganese,SANDUMA,SANDUMA,INE149K01016,SANDUR MANGANESE & IRON ORES L,90.0,SANDUMA.NS,fuzzy
Sanofi Consumer,SANOFI,SANOFI,INE058A01010,SANOFI INDIA LTD,90.0,SANOFI.NS,fuzzy
Royal Inds.,,RAYALEMA,INE008C01011,ROYALE MANOR HOTELS & INDUSTRI,90.0,RAYALEMA.BO,fuzzy
Saatvik Green,SAATVIKGL,SAATVIKGL,INE13B501022,Saatvik Green Energy Limited,90.0,SAATVIKGL.NS,fuzzy
Hatsun Agro,HATSUN,HATSUN,INE473B01035,HATSUN AGRO PRODUCT LTD.,90.0,HATSUN.NS,fuzzy
Greenlam Industr,GREENLAM,GREENLAM,INE544R01021,Greenlam Industries Ltd,90.0,GREENLAM.NS,fuzzy
Greenply Industr,GREENPLY,GREENPLY,INE461C01038,GREENPLY INDUSTRIES LTD.,90.0,GREENPLY.NS,fuzzy
Satin Creditcare,ITC,ITC,INE154A01025,ITC LTD.,90.0,ITC.NS,fuzzy
Schloss Bangal.,,CHLLTD,INE790D01020,CHL LTD.,90.0,CHLLTD.BO,fuzzy
Schneider Elect.,SCHNEIDER,SCHNEIDER,INE839M01018,SCHNEIDER ELECTRIC INFRASTRUCT,90.0,SCHNEIDER.NS,fuzzy
Rainbow Child.,RAIN,RAIN,INE855B01025,RAIN INDUSTRIES LIMITED,90.0,RAIN.NS,fuzzy
Rategain Travel,TEGA,TEGA,INE011K01018,Tega Industries Limited,90.0,TEGA.NS,fuzzy
Ratnamani Metals,RATNAMANI,RATNAMANI,INE703B01027,RATNAMANI METALS & TUBES LTD.,90.0,RATNAMANI.NS,fuzzy
Ratnaveer Precis,RECLTD,RECLTD,INE020B01018,REC LIMITED,90.0,RECLTD.NS,fuzzy
Rattanindia Ent,RTNINDIA,RTNINDIA,INE834M01019,RATTANINDIA ENTERPRISES LIMITE,90.0,RTNINDIA.NS,fuzzy
Hexaware Tech.,HEXT,HEXT,INE093A01041,Hexaware Technologies Limited,90.0,HEXT.NS,fuzzy
Himadri Special,HSCL,HSCL,INE019C01026,Himadri Speciality Chemical Lt,90.0,HSCL.NS,fuzzy
Gujarat Fluoroch,FLUOROCHEM,FLUOROCHEM,INE09N301011,Gujarat Fluorochemicals Limite,90.0,FLUOROCHEM.NS,fuzzy
Gulf Oil Lubric.,OIL,OIL,INE274J01014,OIL INDIA LTD.,90.0,OIL.NS,fuzzy
Happiest Minds,HAPPSTMNDS,HAPPSTMNDS,INE419U01012,Happiest Minds Technologies Li,90.0,HAPPSTMNDS.NS,fuzzy
Sadbhav Infra.,,SADBHIN,INE764L01010,Sadbhav Infrastructure Project,90.0,SADBHIN.BO,fuzzy
Arvind Smartsp.,ARVIND,ARVIND,INE034A01011,ARVIND LTD.,90.0,ARVIND.NS,fuzzy
Prestige Estates,PRESTIGE,PRESTIGE,INE811K01011,PRESTIGE ESTATES PROJECTS LTD.,90.0,PRESTIGE.NS,fuzzy
Bls Internat.,BLS,BLS,INE153T01027,BLS International Services Ltd,90.0,BLS.NS,fuzzy
Bluestone Jewel,BLUESTONE,BLUESTONE,INE304W01038,BlueStone Jewellery and Lifest,90.0,BLUESTONE.NS,fuzzy
Bombay Burmah,BBTC,BBTC,INE050A01025,The Bombay Burmah Trading Corp,90.0,BBTC.NS,fuzzy
Borosil Renew.,BOROLTD,BOROLTD,INE02PY01013,Borosil Limited,90.0,BOROLTD.NS,fuzzy
Bosch Home Comfo,BOSCHLTD,BOSCHLTD,INE323A01026,BOSCH LTD.,90.0,BOSCHLTD.NS,fuzzy
Hdfc Life Insur.,HDFCLIFE,HDFCLIFE,INE795G01014,HDFC LIFE INSURANCE COMPANY LI,90.0,HDFCLIFE.NS,fuzzy
Health.Global,GLOBAL,,INE291W01037,GLOBAL,90.0,GLOBAL.NS,fuzzy
Quality Power El,,QPOWER,INE0SII01026,QUALITY POWER ELECTRICAL EQUIP,90.0,QPOWER.BO,fuzzy
R Systems Intl.,EMSLIMITED,EMSLIMITED,INE0OV601013,EMS LIMITED,90.0,EMSLIMITED.NS,fuzzy
Rail Vikas,RVNL,RVNL,INE415G01027,Rail Vikas Nigam Limited,90.0,RVNL.NS,fuzzy
Prec. Fastners,RECLTD,RECLTD,INE020B01018,REC LIMITED,90.0,RECLTD.NS,fuzzy
Prince Pipes,PRINCEPIPE,PRINCEPIPE,INE689W01016,Prince Pipes and Fittings Limi,90.0,PRINCEPIPE.NS,fuzzy
Privi Speci.,PRIVISCL,PRIVISCL,INE959A01019,PRIVI SPECIALITY CHEMICALS LIM,90.0,PRIVISCL.NS,fuzzy
Protean Egov,PROTEAN,PROTEAN,INE004A01022,Protean eGov Technologies Limi,90.0,PROTEAN.NS,fuzzy
Prudent Corp.,PRUDENT,PRUDENT,INE00F201020,Prudent Corporate Advisory Ser,90.0,PRUDENT.NS,fuzzy
Ptc India Fin,PFS,PFS,INE560K01014,PTC INDIA FINANCIAL SERVICES L,90.0,PFS.NS,fuzzy
Ikio Tech,IKIO,IKIO,INE0LOJ01019,IKIO Technologies Limited,90.0,IKIO.NS,fuzzy
Hind.Construct.,CONS,,INF174KA1ZF8,CONS,90.0,CONS.NS,fuzzy
Hindware Home In,HINDWAREAP,HINDWAREAP,INE05AN01011,Hindware Home Innovation Limit,90.0,HINDWAREAP.NS,fuzzy
Home First Finan,HOMEFIRST,HOMEFIRST,INE481N01025,Home First Finance Company Ind,90.0,HOMEFIRST.NS,fuzzy
Honda India,HONDAPOWER,HONDAPOWER,INE634A01018,HONDA INDIA POWER PRODUCTS LIM,90.0,HONDAPOWER.NS,fuzzy
Aptus Value Hou.,APTUS,APTUS,INE852O01025,Aptus Value Housing Finance In,90.0,APTUS.NS,fuzzy
Arman Financial,ARMANFIN,ARMANFIN,INE109C01017,ARMAN FINANCIAL SERVICES LTD.,90.0,ARMANFIN.NS,fuzzy
Persistent Sys,SIS,SIS,INE285J01028,SIS LIMITED,90.0,SIS.NS,fuzzy
Onesource Speci.,ONESOURCE,ONESOURCE,INE013P01021,Onesource Specialty Pharma Lim,90.0,ONESOURCE.NS,fuzzy
Orissa Minerals,ORISSAMINE,ORISSAMINE,INE725E01024,ORISSA MINERALS DEVELOPMENT CO,90.0,ORISSAMINE.NS,fuzzy
Piramal Enterp.,,AMAL,INE841D01013,AMAL LTD.,90.0,AMAL.BO,fuzzy
Pitti Engg.,IT,,INF174KA1GC5,IT,90.0,IT.NS,fuzzy
Pngs Reva Diamo.,PNGSREVA,PNGSREVA,INE1RDG01013,PNGS Reva Diamond Jewellery Li,90.0,PNGSREVA.NS,fuzzy
Paradeep Phosph.,PAR,,INE04LG01015,PAR,90.0,PAR.NS,fuzzy
Paramount Comm.,PAR,,INE04LG01015,PAR,90.0,PAR.NS,fuzzy
Paras Defence,PARAS,PARAS,INE045601023,Paras Defence and Space Techno,90.0,PARAS.NS,fuzzy
Indrapr.Medical,DICIND,DICIND,INE303A01010,DIC INDIA LTD.,90.0,DICIND.NS,fuzzy
Iifl Capital,IIFLCAPS,IIFLCAPS,INE489L01022,IIFL CAPITAL SERVICES LIMITED,90.0,IIFLCAPS.NS,fuzzy
Pondy Oxides,POCL,POCL,INE063E01053,PONDY OXIDES & CHEMICALS LTD.,90.0,POCL.NS,fuzzy
Popular Vehicles,PVSL,PVSL,INE772T01024,Popular Vehicles and Services,90.0,PVSL.NS,fuzzy
Nucleus Soft.,NUCLEUS,NUCLEUS,INE096B01018,NUCLEUS SOFTWARE EXPORTS LTD.,90.0,NUCLEUS.NS,fuzzy
Nuvama Wealth,NUVAMA,NUVAMA,INE531F01023,Nuvama Wealth Management Limit,90.0,NUVAMA.NS,fuzzy
Nuvoco Vistas,NUVOCO,NUVOCO,INE118D01016,Nuvoco Vistas Corporation Limi,90.0,NUVOCO.NS,fuzzy
Ola Electric,OLAELEC,OLAELEC,INE0LXG01040,Ola Electric Mobility Limited,90.0,OLAELEC.NS,fuzzy
Omnitech Engg.,IT,,INF174KA1GC5,IT,90.0,IT.NS,fuzzy
One 97,PAYTM,PAYTM,INE982J01020,One 97 Communications Limited,90.0,PAYTM.NS,fuzzy
Interarch Build.,INTERARCH,INTERARCH,INE00M901018,Interarch Building Solutions L,90.0,INTERARCH.NS,fuzzy
Indian Metals,IMFA,IMFA,INE919H01018,INDIAN METALS & FERRO ALLOYS L,90.0,IMFA.NS,fuzzy
Indian Renewable,IREDA,IREDA,INE202E01016,Indian Renewable Energy Develo,90.0,IREDA.NS,fuzzy
Pearl Global Ind,GLOBAL,,INE291W01037,GLOBAL,90.0,GLOBAL.NS,fuzzy
Pennar Industrie,PENIND,PENIND,INE932A01024,PENNAR INDUSTRIES LTD.,90.0,PENIND.NS,fuzzy
Astra Microwave,ASTRAMICRO,ASTRAMICRO,INE386C01029,ASTRA MICROWAVE PRODUCTS LTD.,90.0,ASTRAMICRO.NS,fuzzy
One Mobikwik,MOBIKWIK,MOBIKWIK,INE0HLU01028,One Mobikwik Systems Limited,90.0,MOBIKWIK.NS,fuzzy
Onemi Technology,KISSHT,KISSHT,INE12F801023,OnEMI Technology Solutions Lim,90.0,KISSHT.NS,fuzzy
Niit Learning,NIITLTD,NIITLTD,INE161A01038,NIIT LTD.,90.0,NIITLTD.NS,fuzzy
Niva Bupa Health,NIVABUPA,NIVABUPA,INE995S01015,NIVA BUPA HEALTH INSURANCE COM,90.0,NIVABUPA.NS,fuzzy
Northern Arc,NORTHARC,NORTHARC,INE850M01015,Northern Arc Capital Ltd.,90.0,NORTHARC.NS,fuzzy
Ion Exchange,IONEXCHANG,IONEXCHANG,INE570A01022,ION EXCHANGE (INDIA) LTD.,90.0,IONEXCHANG.NS,fuzzy
Isgec Heavy,ISGEC,ISGEC,INE858B01029,ISGEC HEAVY ENGINEERING LTD.,90.0,ISGEC.NS,fuzzy
Itd Cem,IT,,INF174KA1GC5,IT,90.0,IT.NS,fuzzy
J B Chemicals &,CHEMICAL,,INF174KA1XV0,CHEMICAL,90.0,CHEMICAL.NS,fuzzy
Ingersoll-Rand,INGERRAND,INGERRAND,INE177A01018,INGERSOLL-RAND (INDIA) LTD.,90.0,INGERRAND.NS,fuzzy
P I Industries,,VVIPIL,INE0MNP01016,VVIP Infratech Limited,90.0,VVIPIL.BO,fuzzy
Mrs Bectors,BECTORFOOD,BECTORFOOD,INE495P01020,Mrs. Bectors Food Specialities,90.0,BECTORFOOD.NS,fuzzy
Nath Bio-Genes,NATHBIOGEN,NATHBIOGEN,INE448G01010,NATH BIO-GENES (INDIA) LTD,90.0,NATHBIOGEN.NS,fuzzy
Bikaji Foods,BIKAJI,BIKAJI,INE00E101023,Bikaji Foods International Lim,90.0,BIKAJI.NS,fuzzy
Billionbrains,GROWW,GROWW,INE0HOQ01053,Billionbrains Garage Ventures,90.0,GROWW.NS,fuzzy
International Ge,IGIL,IGIL,INE0Q9301021,International Gemological Inst,90.0,IGIL.NS,fuzzy
Inventurus Knowl,IKS,IKS,INE115Q01022,INVENTURUS KNOWLEDGE SOLUTIONS,90.0,IKS.NS,fuzzy
Nephrocare Healt,NEPHROPLUS,NEPHROPLUS,INE428V01029,Nephrocare Health Services Lim,90.0,NEPHROPLUS.NS,fuzzy
Netweb Technol.,NETWEB,NETWEB,INE0NT901020,NETWEB TECHNOLOGIES INDIA LIMI,90.0,NETWEB.NS,fuzzy
Network People,NPST,NPST,INE0FFK01017,Network People Services Techno,90.0,NPST.NS,fuzzy
New India Assura,NIACL,NIACL,INE470Y01017,The New India Assurance Compan,90.0,NIACL.NS,fuzzy
Newgen Software,NEWGEN,NEWGEN,INE619B01017,Newgen Software Technologies L,90.0,NEWGEN.NS,fuzzy
Mindspace Busine,,MINDSPACE,INE0CCU25019,Mindspace Business Parks REIT,90.0,MINDSPACE.BO,fuzzy
Motil.Oswal.Fin.,TIL,TIL,INE806C01018,TIL LTD.,90.0,TIL.NS,fuzzy
Awfis Space,AWFIS,AWFIS,INE108V01019,Awfis Space Solutions Limited,90.0,AWFIS.NS,fuzzy
Jain Resource,JAINREC,JAINREC,INE0YD401026,Jain Resource Recycling Limite,90.0,JAINREC.NS,fuzzy
Jana Small Finan,JSFB,JSFB,INE953L01027,JANA SMALL FINANCE BANK LIMITE,90.0,JSFB.NS,fuzzy
Jaro Institute,JARO,JARO,INE00YJ01010,Jaro Institute of Technology M,90.0,JARO.NS,fuzzy
Jio Financial,JIOFIN,JIOFIN,INE758E01017,Jio Financial Services Limited,90.0,JIOFIN.NS,fuzzy
Jk Tyre & Indust,JKTYRE,JKTYRE,INE573A01042,JK TYRE & INDUSTRIES LTD.,90.0,JKTYRE.NS,fuzzy
Belrise Industri,BELRISE,BELRISE,INE894V01022,BELRISE INDUSTRIES LIMITED,90.0,BELRISE.NS,fuzzy
Authum Invest,AIIL,AIIL,INE206F01022,Authum Investment & Infrastruc,90.0,AIIL.NS,fuzzy
Avalon Tech,AVALON,AVALON,INE0LCL01028,Avalon Technologies Limited,90.0,AVALON.NS,fuzzy
Mahindra Life.,MAHLIFE,MAHLIFE,INE813A01018,MAHINDRA LIFESPACE DEVELOPERS,90.0,MAHLIFE.NS,fuzzy
Axiscades Tech.,AXISCADES,AXISCADES,INE555B01013,AXISCADES TECHNOLOGIES LIMITED,90.0,AXISCADES.NS,fuzzy
Baazar Style,,STYLEBAAZA,INE01FR01028,Baazar Style Retail Limited,90.0,STYLEBAAZA.BO,fuzzy
Bajaj Holdings,BAJAJHLDNG,BAJAJHLDNG,INE118A01012,BAJAJ HOLDINGS & INVESTMENT LT,90.0,BAJAJHLDNG.NS,fuzzy
Manorama Indust.,MANORAMA,MANORAMA,INE00VM01036,Manorama Industries Limited,90.0,MANORAMA.NS,fuzzy
Johnson Con. Hit,IT,,INF174KA1GC5,IT,90.0,IT.NS,fuzzy
Jsw Infrast,JSWINFRA,JSWINFRA,INE880J01026,JSW Infrastructure Limited,90.0,JSWINFRA.NS,fuzzy
Natl.Fertilizer,TIL,TIL,INE806C01018,TIL LTD.,90.0,TIL.NS,fuzzy
Navneet Educat.,NAVNETEDUL,NAVNETEDUL,INE060A01024,NAVNEET EDUCATION LIMITED,90.32258064516128,NAVNETEDUL.NS,fuzzy
Shankara Build,BUILDPRO,BUILDPRO,INE24OJ01011,Shankara Buildpro Limited,90.32258064516128,BUILDPRO.NS,fuzzy
Fractal Analyt.,FRACTAL,FRACTAL,INE212S01015,Fractal Analytics Limited,90.32258064516128,FRACTAL.NS,fuzzy
Sundram Fasten.,SUNDRMFAST,SUNDRMFAST,INE387A01021,SUNDRAM FASTENERS LTD.,90.32258064516128,SUNDRMFAST.NS,fuzzy
Tata Technolog.,TATATECH,TATATECH,INE142M01025,Tata Technologies Limited,90.32258064516128,TATATECH.NS,fuzzy
Artemis Medicare,THEMISMED,THEMISMED,INE083B01024,THEMIS MEDICARE LTD.,90.32258064516128,THEMISMED.NS,fuzzy
Shankara Build.,BUILDPRO,BUILDPRO,INE24OJ01011,Shankara Buildpro Limited,90.32258064516128,BUILDPRO.NS,fuzzy
Kfin Technolog.,KFINTECH,KFINTECH,INE138Y01010,KFin Technologies Limited,90.32258064516128,KFINTECH.NS,fuzzy
Jk Lakshmi Cem.,JKLAKSHMI,JKLAKSHMI,INE786A01032,JK LAKSHMI CEMENT LTD.,90.32258064516128,JKLAKSHMI.NS,fuzzy
Optiemus Infra.,OPTIEMUS,OPTIEMUS,INE350C01017,OPTIEMUS INFRACOM LTD,90.32258064516128,OPTIEMUS.NS,fuzzy
Godrej Propert.,GODREJPROP,GODREJPROP,INE484J01027,GODREJ PROPERTIES LTD,90.32258064516128,GODREJPROP.NS,fuzzy
Ntpc Green Ene.,NTPCGREEN,NTPCGREEN,INE0ONG01011,NTPC GREEN ENERGY LIMITED,90.32258064516128,NTPCGREEN.NS,fuzzy
